record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,normalized_weight
63,8,19,1977,3,DM,M,35.0,40.0,-0.07295485471488027
64,8,19,1977,7,DM,M,37.0,48.0,0.14543785453800992
65,8,19,1977,4,DM,F,34.0,29.0,-0.3732448299376042
66,8,19,1977,4,DM,F,35.0,46.0,0.09083967722478736
67,8,19,1977,7,DM,M,35.0,36.0,-0.18215120934132534
68,8,19,1977,8,DO,F,32.0,52.0,0.254634209164455
69,8,19,1977,2,PF,M,15.0,8.0,-0.946525691726441
70,8,19,1977,3,OX,F,21.0,22.0,-0.5643384505338831
71,8,19,1977,7,DM,F,36.0,35.0,-0.20945029799793663
74,8,19,1977,8,PF,M,12.0,7.0,-0.9738247803830522
75,8,19,1977,8,DM,F,32.0,22.0,-0.5643384505338831
78,8,19,1977,1,PF,M,16.0,9.0,-0.9192266030698296
79,8,19,1977,7,DM,F,34.0,42.0,-0.01835667740165772
81,8,19,1977,4,PF,F,14.0,8.0,-0.946525691726441
82,8,19,1977,4,DM,F,35.0,41.0,-0.04565576605826899
83,8,20,1977,6,DM,F,37.0,37.0,-0.15485212068471407
84,8,20,1977,19,DM,F,35.0,43.0,0.008942411254953554
85,8,20,1977,23,DM,F,35.0,41.0,-0.04565576605826899
86,8,20,1977,18,DM,F,33.0,40.0,-0.07295485471488027
87,8,20,1977,5,PF,F,11.0,9.0,-0.9192266030698296
88,8,20,1977,18,DM,F,35.0,45.0,0.0635405885681761
89,8,20,1977,12,PP,F,20.0,15.0,-0.7554320711301621
90,8,20,1977,18,DM,M,35.0,29.0,-0.3732448299376042
92,8,20,1977,6,DM,M,35.0,39.0,-0.10025394337149153
94,8,20,1977,18,DM,F,36.0,43.0,0.008942411254953554
95,8,20,1977,23,DM,M,38.0,46.0,0.09083967722478736
96,8,20,1977,12,DM,M,36.0,41.0,-0.04565576605826899
97,8,20,1977,18,DM,M,36.0,41.0,-0.04565576605826899
98,8,20,1977,5,DM,M,38.0,40.0,-0.07295485471488027
99,8,20,1977,11,DM,M,37.0,45.0,0.0635405885681761
101,8,20,1977,5,DM,F,35.0,46.0,0.09083967722478736
102,8,20,1977,23,DM,F,35.0,40.0,-0.07295485471488027
103,8,20,1977,18,DM,F,35.0,30.0,-0.345945741280993
105,8,20,1977,19,DM,M,35.0,39.0,-0.10025394337149153
109,8,20,1977,6,DM,M,35.0,34.0,-0.2367493866545479
111,8,20,1977,11,DM,F,37.0,42.0,-0.01835667740165772
